GCF_002946715.1	Esch_coli_266917_2
GCF_006351885.1	Esch_coli_FC853_EC
GCF_900622655.1	Esch_coli_MS14385
GCF_003254065.1	Esch_coli_51008369SK1
GCF_003019035.1	Esch_coli_2014C-3075
GCF_900622635.1	Esch_coli_B36
GCF_000026245.1	Esch_coli_55989
GCF_000245515.1	Esch_coli_RM12579
GCF_002763995.1	Esch_coli_NQ3
GCF_003019175.1	Esch_coli_2013C-4187
GCF_002953075.1	Esch_coli_2FA
GCF_002164635.3	Esch_coli_WCHEC96200
GCF_003018755.1	Esch_coli_2014C-4587
GCF_900636125.1	Esch_coli_NCTC9699
GCF_005221765.1	Esch_coli_124
GCF_003019015.1	Esch_coli_88-3001
GCF_001900635.1	Esch_coli_D3
GCF_002055635.1	Esch_coli_AR_0118
GCF_003667405.1	Esch_coli_W2-5
GCF_002180195.1	Esch_coli_AR_0058
GCF_002952915.1	Esch_coli_3FA
GCF_002741355.1	Esch_coli_ATCC_43896
GCF_002310675.1	Esch_coli_127
GCF_001021595.1	Esch_coli_NMEC_O18
GCF_001593565.1	Esch_coli_JJ1887
GCF_002741595.1	Esch_coli_2012C-4431
GCF_001890245.1	Esch_coli_472
GCF_000026545.1	Esch_coli_E2348_69
GCF_002278115.2	Esch_coli_CFSAN061770
GCF_001029125.1	Esch_coli_PCN061
GCF_001513635.1	Esch_coli_JJ2434
GCF_001900335.1	Esch_coli_C10
GCF_001890265.1	Esch_coli_350
GCF_900474445.1	Esch_coli_NCTC9966
GCF_005221545.1	Esch_coli_148
GCF_005221785.1	Esch_coli_123
GCF_002357915.1	Esch_coli_20Ec-P-124
GCF_002741295.1	Esch_coli_ATCC_43886
GCF_002011985.1	Esch_coli_Ecol_316
GCF_002357895.1	Esch_coli_MRY15-117
GCF_002741175.1	Esch_coli_2014EL-1343-2
GCF_002848225.1	Esch_coli_DH5alpha
GCF_002899475.1	Esch_coli_DH5alpha
GCF_002310555.1	Esch_coli_1943
GCF_002196495.1	Esch_coli_EC1515
GCF_005221905.1	Esch_coli_142
GCF_002011945.1	Esch_coli_Ecol_224
GCF_002846135.1	Esch_coli_MS8345
GCF_005037795.1	Esch_coli_FWSEC0007
GCF_005221685.1	Esch_coli_134
GCF_002009315.1	Esch_coli_MDR_56
GCF_002788295.1	Esch_coli_AR_0011
GCF_002192275.1	Esch_coli_AR_0114
GCF_002787645.1	Esch_coli_CREC-544
GCF_000952955.1	Esch_coli_K-12_substr_RV308
GCF_002215095.1	Esch_coli_PSUO2
GCF_002090355.1	Esch_coli_BLR_DE3
GCF_002012065.1	Esch_coli_Ecol_656
GCF_002310655.1	Esch_coli_746
GCF_001901315.1	Esch_coli_S1
GCF_000147855.2	Esch_coli_KO11
GCF_002201835.1	Esch_coli_AR_0137
GCF_002310635.1	Esch_coli_1105
GCF_900636785.1	Esch_coli_NCTC9113
GCF_003019155.1	Esch_coli_2013C-3264
GCF_004010635.1	Esch_coli_06-3462
GCF_003971215.1	Esch_coli_L37
GCF_003073835.1	Esch_coli_AR435
GCF_002843685.1	Esch_coli_K-12_substr_MG1655
GCF_000801205.1	Esch_coli_K-12_substr_MG1655
GCF_001308065.1	Esch_coli_K-12_substr_MG1655
GCF_000005845.2	Esch_coli_K-12_substr_MG1655
GCF_001544635.1	Esch_coli_K-12_substr_MG1655
GCF_003627195.1	Esch_coli_K-12_substr_MG1655
GCF_001721125.1	Esch_coli_FORC_028
GCF_002741555.1	Esch_coli_F9792
GCF_002854065.1	Esch_coli_14EC033
GCF_002012105.1	Esch_coli_Ecol_AZ147
GCF_001900815.1	Esch_coli_H3
GCF_001307215.1	Esch_coli_WS4202
GCF_003956265.1	Esch_coli_510016
GCF_002968715.1	Esch_coli_AR_0369
GCF_002741515.1	Esch_coli_F6699
GCF_002796445.1	Esch_coli_AR_0019
GCF_003956465.1	Esch_coli_503025
GCF_001874485.1	Esch_coli_O25b_H4
GCF_003018395.1	Esch_coli_2014C-3011
GCF_001618365.1	Esch_coli_Ecol_448
GCF_000026285.1	Esch_coli_S88
GCF_002863665.1	Esch_coli_SMN197SH3
GCF_003367885.1	Esch_coli_C600
GCF_001678965.1	Esch_coli_GB089
GCF_003017375.1	Esch_coli_2015C-3163
GCF_001901045.1	Esch_coli_M3
GCF_002968735.1	Esch_coli_AR_0372
GCF_003095635.1	Esch_coli_104
GCF_004924255.1	Esch_coli_YSP8-1
GCF_000725305.1	Esch_coli_KLY
GCF_001900555.1	Esch_coli_C8
GCF_000299255.1	Esch_coli_2009EL-2050
GCF_002741335.1	Esch_coli_F5656C1
GCF_004804205.1	Esch_coli_382634_2f
GCF_003018655.1	Esch_coli_2013C-3181
GCF_000974825.1	Esch_coli_ER3446
GCF_001675145.1	Esch_coli_ECONIH2
GCF_001900535.1	Esch_coli_C5
GCF_005222425.1	Esch_coli_110
GCF_002057245.1	Esch_coli_13E0780
GCF_003018275.1	Esch_coli_2014C-3097
GCF_004135125.1	Esch_coli_NissleGFP_pZE21
GCF_001900835.1	Esch_coli_H8
GCF_003956405.1	Esch_coli_504239
GCF_005890115.1	Esch_coli_BE104
GCF_001886935.1	Esch_coli_FORC_041
GCF_003956205.1	Esch_coli_204446
GCF_001559615.2	Esch_coli_C2566
GCF_000814145.2	Esch_coli_6409
GCF_002811555.3	Esch_coli_WCHEC025943
GCF_003172465.2	Esch_coli_WCHEC035053S1G0
GCF_002078295.1	Esch_coli_BLK16
GCF_001559655.1	Esch_coli_DHB4
GCF_002903105.1	Esch_coli_ECONIH5
GCF_000974575.1	Esch_coli_ER3466
GCF_900635235.1	Esch_coli_NCTC12655
GCF_001865295.1	Esch_coli_PA20
GCF_001455385.1	Esch_coli_CQSW20
GCF_005037735.1	Esch_coli_FWSEC0004
GCF_002996945.1	Esch_coli_AR_0081
GCF_000025165.1	Esch_coli_CB9615
GCF_001513615.1	Esch_coli_CD306
GCF_001677475.1	Esch_coli_06-00048
GCF_001515725.1	Esch_coli_ACN002
GCF_001890225.1	Esch_coli_272
GCF_001900735.1	Esch_coli_D10
GCF_900636175.1	Esch_coli_NCTC8623
GCF_000010245.2	Esch_coli_K-12_substr_W3110
GCF_003018915.1	Esch_coli_2011C-4251
GCF_003112185.1	Esch_coli_RM8426
GCF_900636005.1	Esch_coli_NCTC11476
GCF_002237305.1	Esch_coli_PAR
GCF_900636195.1	Esch_coli_NCTC9008
GCF_003351385.1	Esch_coli_Es_ST410_NW1_NDM_09_2017
GCF_003017615.1	Esch_coli_2014C-4135
GCF_900520345.1	Esch_coli_str_TO124
GCF_005885915.1	Esch_coli_ECP17-1298
GCF_005037845.1	Esch_coli_FWSEC0003
GCF_001900905.1	Esch_coli_S3
GCF_001280385.1	Esch_coli_SF-166
GCF_000725265.1	Esch_coli_B7A
GCF_002966755.1	Esch_coli_WB61
GCF_000027125.1	Esch_coli_042
GCF_003571685.1	Esch_coli_AR_0013
GCF_002741435.1	Esch_coli_2014EL-1345-2
GCF_005221965.1	Esch_coli_138
GCF_002741535.1	Esch_coli_F8111-1SC3
GCF_003112205.1	Esch_coli_RM10042
GCF_002944935.1	Esch_coli_FDAARGOS_144
GCF_003812945.1	Esch_coli_FDAARGOS_497
GCF_003017915.1	Esch_coli_2014C-3051
GCF_004299805.1	Esch_coli_S65EC
GCF_001021005.2	Esch_coli_K-12_substr_GM4792
GCF_001020945.2	Esch_coli_K-12_substr_GM4792
GCF_001308125.1	Esch_coli_K-12_substr_MG1655_TMP32XR1
GCF_005886035.1	Esch_coli_A1_136
GCF_002193095.1	Esch_coli_H105
GCF_005014055.1	Esch_coli_FWSEC0010
GCF_000468515.1	Esch_coli_LY180
GCF_006352265.1	Esch_coli_A1_181
GCF_003344465.1	Esch_coli_MCJCHV-1
GCF_002850675.3	Esch_coli_SCEC020023
GCF_003018775.1	Esch_coli_2014C-3655
GCF_001900615.1	Esch_coli_D2
GCF_002012005.1	Esch_coli_Ecol_517
GCF_002591135.1	Esch_coli_FDAARGOS_448
GCF_001612475.1	Esch_coli_28RC1
GCF_006337025.1	Esch_coli_K71-77
GCF_002012185.1	Esch_coli_Ecol_422
GCF_002788115.1	Esch_coli_AR_0015
GCF_002764015.1	Esch_coli_LS4
GCF_004135165.1	Esch_coli_U13A
GCF_002202175.1	Esch_coli_AR_0055
GCF_006088875.1	Esch_coli_3385
GCF_001900775.1	Esch_coli_H1
GCF_001900515.1	Esch_coli_C3
GCF_003018055.1	Esch_coli_2013C-3252
GCF_001886535.1	Esch_coli_MRSN352231
GCF_001183645.1	Esch_coli_DH1Ec095
GCF_005221525.1	Esch_coli_147
GCF_002953095.1	Esch_coli_1FA
GCF_000019645.1	Esch_coli_SMS-3-5
GCF_003856675.1	Esch_coli_7_2
GCF_003194345.1	Esch_coli_E41-1
GCF_003018095.1	Esch_coli_2014C-3338
GCF_001617565.1	Esch_coli_Ecol_732
GCF_003030245.1	Esch_coli_CFSAN018748
GCF_001901365.1	Esch_coli_S30
GCF_000800765.1	Esch_coli_ER3413
GCF_003856635.1	Esch_coli_2_0
GCF_002952955.1	Esch_coli_2_0
GCF_000830035.1	Esch_coli_C41_DE3
GCF_003018615.1	Esch_coli_2012EL-2448
GCF_003342715.1	Esch_coli_CFSAN064035
GCF_002787315.1	Esch_coli_AR_0014
GCF_002953895.1	Esch_coli_1A
GCF_002057355.1	Esch_coli_13E0767
GCF_002310615.1	Esch_coli_1190
GCF_000464955.2	Esch_coli_CFSAN002236
GCF_003956185.1	Esch_coli_504237
GCF_004010715.1	Esch_coli_08-3914
GCF_003122105.1	Esch_coli_ECCRA-119
